,personaje,fecha_hora,genero,file,fuente
0,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:34,,C5N2020-08-17-17-54-34.mp4,C5N
1,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:35,,C5N2020-08-17-17-54-34.mp4,C5N
2,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:36,,C5N2020-08-17-17-54-34.mp4,C5N
3,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:37,,C5N2020-08-17-17-54-34.mp4,C5N
4,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:38,,C5N2020-08-17-17-54-34.mp4,C5N
5,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:39,,C5N2020-08-17-17-54-34.mp4,C5N
6,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:40,,C5N2020-08-17-17-54-34.mp4,C5N
7,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:41,,C5N2020-08-17-17-54-34.mp4,C5N
8,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:42,,C5N2020-08-17-17-54-34.mp4,C5N
9,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:43,,C5N2020-08-17-17-54-34.mp4,C5N
10,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:44,,C5N2020-08-17-17-54-34.mp4,C5N
11,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:45,,C5N2020-08-17-17-54-34.mp4,C5N
12,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:46,,C5N2020-08-17-17-54-34.mp4,C5N
13,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:47,,C5N2020-08-17-17-54-34.mp4,C5N
14,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:48,,C5N2020-08-17-17-54-34.mp4,C5N
15,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:49,,C5N2020-08-17-17-54-34.mp4,C5N
16,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:50,,C5N2020-08-17-17-54-34.mp4,C5N
17,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:51,,C5N2020-08-17-17-54-34.mp4,C5N
18,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:52,,C5N2020-08-17-17-54-34.mp4,C5N
19,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:53,,C5N2020-08-17-17-54-34.mp4,C5N
20,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:54,,C5N2020-08-17-17-54-34.mp4,C5N
21,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:55,,C5N2020-08-17-17-54-34.mp4,C5N
22,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:56,,C5N2020-08-17-17-54-34.mp4,C5N
23,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:57,,C5N2020-08-17-17-54-34.mp4,C5N
24,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:58,,C5N2020-08-17-17-54-34.mp4,C5N
25,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:54:59,,C5N2020-08-17-17-54-34.mp4,C5N
26,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:00,,C5N2020-08-17-17-54-34.mp4,C5N
27,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:01,,C5N2020-08-17-17-54-34.mp4,C5N
28,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:02,,C5N2020-08-17-17-54-34.mp4,C5N
29,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:03,,C5N2020-08-17-17-54-34.mp4,C5N
30,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:04,,C5N2020-08-17-17-54-34.mp4,C5N
31,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:05,,C5N2020-08-17-17-54-34.mp4,C5N
32,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:06,,C5N2020-08-17-17-54-34.mp4,C5N
33,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:07,,C5N2020-08-17-17-54-34.mp4,C5N
34,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:08,,C5N2020-08-17-17-54-34.mp4,C5N
35,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:09,,C5N2020-08-17-17-54-34.mp4,C5N
36,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:10,,C5N2020-08-17-17-54-34.mp4,C5N
37,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:11,,C5N2020-08-17-17-54-34.mp4,C5N
38,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:12,,C5N2020-08-17-17-54-34.mp4,C5N
39,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:13,,C5N2020-08-17-17-54-34.mp4,C5N
40,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:14,,C5N2020-08-17-17-54-34.mp4,C5N
41,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:15,,C5N2020-08-17-17-54-34.mp4,C5N
42,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:16,,C5N2020-08-17-17-54-34.mp4,C5N
43,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:17,,C5N2020-08-17-17-54-34.mp4,C5N
44,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:18,,C5N2020-08-17-17-54-34.mp4,C5N
45,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:19,,C5N2020-08-17-17-54-34.mp4,C5N
46,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:20,,C5N2020-08-17-17-54-34.mp4,C5N
47,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:21,,C5N2020-08-17-17-54-34.mp4,C5N
48,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:22,,C5N2020-08-17-17-54-34.mp4,C5N
49,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:23,,C5N2020-08-17-17-54-34.mp4,C5N
50,NO IDENTIFICADO,2020-08-17 17:55:24,M,C5N2020-08-17-17-54-34.mp4,C5N
51,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:25,,C5N2020-08-17-17-54-34.mp4,C5N
52,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:26,,C5N2020-08-17-17-54-34.mp4,C5N
53,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:27,,C5N2020-08-17-17-54-34.mp4,C5N
54,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:28,,C5N2020-08-17-17-54-34.mp4,C5N
55,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:29,,C5N2020-08-17-17-54-34.mp4,C5N
56,NO IDENTIFICADO,2020-08-17 17:55:30,M,C5N2020-08-17-17-54-34.mp4,C5N
57,NO IDENTIFICADO,2020-08-17 17:55:31,M,C5N2020-08-17-17-54-34.mp4,C5N
58,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:31,,C5N2020-08-17-17-54-34.mp4,C5N
59,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:32,,C5N2020-08-17-17-54-34.mp4,C5N
60,NO IDENTIFICADO,2020-08-17 17:55:33,M,C5N2020-08-17-17-54-34.mp4,C5N
61,NO IDENTIFICADO,2020-08-17 17:55:34,M,C5N2020-08-17-17-54-34.mp4,C5N
62,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:35,,C5N2020-08-17-17-54-34.mp4,C5N
63,hernan_lombardi,2020-08-17 17:55:35,M,C5N2020-08-17-17-54-34.mp4,C5N
64,NO IDENTIFICADO,2020-08-17 17:55:36,M,C5N2020-08-17-17-54-34.mp4,C5N
65,eduardo_duhalde,2020-08-17 17:55:37,M,C5N2020-08-17-17-54-34.mp4,C5N
66,NO IDENTIFICADO,2020-08-17 17:55:37,M,C5N2020-08-17-17-54-34.mp4,C5N
67,NO IDENTIFICADO,2020-08-17 17:55:38,M,C5N2020-08-17-17-54-34.mp4,C5N
68,NO IDENTIFICADO,2020-08-17 17:55:38,M,C5N2020-08-17-17-54-34.mp4,C5N
69,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:39,,C5N2020-08-17-17-54-34.mp4,C5N
70,eduardo_duhalde,2020-08-17 17:55:40,M,C5N2020-08-17-17-54-34.mp4,C5N
71,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:41,,C5N2020-08-17-17-54-34.mp4,C5N
72,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:42,,C5N2020-08-17-17-54-34.mp4,C5N
73,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:43,,C5N2020-08-17-17-54-34.mp4,C5N
74,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:44,,C5N2020-08-17-17-54-34.mp4,C5N
75,horacio_rodriguez_larreta_2,2020-08-17 17:55:45,M,C5N2020-08-17-17-54-34.mp4,C5N
76,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:46,,C5N2020-08-17-17-54-34.mp4,C5N
77,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:47,,C5N2020-08-17-17-54-34.mp4,C5N
78,c_gustavo_tubio,2020-08-17 17:55:48,F,C5N2020-08-17-17-54-34.mp4,C5N
79,NO IDENTIFICADO,2020-08-17 17:55:49,M,C5N2020-08-17-17-54-34.mp4,C5N
80,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:49,,C5N2020-08-17-17-54-34.mp4,C5N
81,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:50,,C5N2020-08-17-17-54-34.mp4,C5N
82,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:51,,C5N2020-08-17-17-54-34.mp4,C5N
83,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:52,,C5N2020-08-17-17-54-34.mp4,C5N
84,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:53,,C5N2020-08-17-17-54-34.mp4,C5N
85,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:54,,C5N2020-08-17-17-54-34.mp4,C5N
86,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:55,,C5N2020-08-17-17-54-34.mp4,C5N
87,NO IDENTIFICADO,2020-08-17 17:55:56,M,C5N2020-08-17-17-54-34.mp4,C5N
88,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:57,,C5N2020-08-17-17-54-34.mp4,C5N
89,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:58,,C5N2020-08-17-17-54-34.mp4,C5N
90,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:55:59,,C5N2020-08-17-17-54-34.mp4,C5N
91,miguel_angel_pichetto,2020-08-17 17:56:00,F,C5N2020-08-17-17-54-34.mp4,C5N
92,NO IDENTIFICADO,2020-08-17 17:56:01,M,C5N2020-08-17-17-54-34.mp4,C5N
93,c_maru_duffard,2020-08-17 17:56:01,F,C5N2020-08-17-17-54-34.mp4,C5N
94,NO IDENTIFICADO,2020-08-17 17:56:02,M,C5N2020-08-17-17-54-34.mp4,C5N
95,c_maru_duffard,2020-08-17 17:56:02,F,C5N2020-08-17-17-54-34.mp4,C5N
96,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:56:03,,C5N2020-08-17-17-54-34.mp4,C5N
97,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:56:04,,C5N2020-08-17-17-54-34.mp4,C5N
98,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:56:05,,C5N2020-08-17-17-54-34.mp4,C5N
99,SIN PERSONAS IDENTIFICABLES,2020-08-17 17:56:06,,C5N2020-08-17-17-54-34.mp4,C5N
