,personaje,fecha_hora,genero,file,fuente
0,NO IDENTIFICADO,2020-08-18 17:57:53,F,C5N2020-08-18-17-57-53.mp4,C5N
1,NO IDENTIFICADO,2020-08-18 17:57:54,F,C5N2020-08-18-17-57-53.mp4,C5N
2,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:57:55,,C5N2020-08-18-17-57-53.mp4,C5N
3,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:57:56,,C5N2020-08-18-17-57-53.mp4,C5N
4,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:57:57,,C5N2020-08-18-17-57-53.mp4,C5N
5,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:57:58,,C5N2020-08-18-17-57-53.mp4,C5N
6,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:57:59,,C5N2020-08-18-17-57-53.mp4,C5N
7,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:00,,C5N2020-08-18-17-57-53.mp4,C5N
8,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:01,,C5N2020-08-18-17-57-53.mp4,C5N
9,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:02,,C5N2020-08-18-17-57-53.mp4,C5N
10,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:03,,C5N2020-08-18-17-57-53.mp4,C5N
11,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:04,,C5N2020-08-18-17-57-53.mp4,C5N
12,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:05,,C5N2020-08-18-17-57-53.mp4,C5N
13,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:06,,C5N2020-08-18-17-57-53.mp4,C5N
14,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:07,,C5N2020-08-18-17-57-53.mp4,C5N
15,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:08,,C5N2020-08-18-17-57-53.mp4,C5N
16,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:09,,C5N2020-08-18-17-57-53.mp4,C5N
17,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:10,,C5N2020-08-18-17-57-53.mp4,C5N
18,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:11,,C5N2020-08-18-17-57-53.mp4,C5N
19,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:12,,C5N2020-08-18-17-57-53.mp4,C5N
20,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:13,,C5N2020-08-18-17-57-53.mp4,C5N
21,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:14,,C5N2020-08-18-17-57-53.mp4,C5N
22,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:15,,C5N2020-08-18-17-57-53.mp4,C5N
23,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:16,,C5N2020-08-18-17-57-53.mp4,C5N
24,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:17,,C5N2020-08-18-17-57-53.mp4,C5N
25,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:18,,C5N2020-08-18-17-57-53.mp4,C5N
26,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:19,,C5N2020-08-18-17-57-53.mp4,C5N
27,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:20,,C5N2020-08-18-17-57-53.mp4,C5N
28,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:21,,C5N2020-08-18-17-57-53.mp4,C5N
29,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:22,,C5N2020-08-18-17-57-53.mp4,C5N
30,SIN PERSONAS IDENTIFICABLES,2020-08-18 17:58:23,,C5N2020-08-18-17-57-53.mp4,C5N
