,personaje,fecha_hora,genero,file,fuente
0,NO IDENTIFICADO,2020-08-15 17:00:45,M,C5N2020-08-15-17-00-45.mp4,C5N
1,NO IDENTIFICADO,2020-08-15 17:00:46,M,C5N2020-08-15-17-00-45.mp4,C5N
2,NO IDENTIFICADO,2020-08-15 17:00:46,M,C5N2020-08-15-17-00-45.mp4,C5N
3,NO IDENTIFICADO,2020-08-15 17:00:47,M,C5N2020-08-15-17-00-45.mp4,C5N
4,NO IDENTIFICADO,2020-08-15 17:00:48,M,C5N2020-08-15-17-00-45.mp4,C5N
5,NO IDENTIFICADO,2020-08-15 17:00:49,M,C5N2020-08-15-17-00-45.mp4,C5N
6,c_maru_duffard_2,2020-08-15 17:00:49,F,C5N2020-08-15-17-00-45.mp4,C5N
7,virginia_creimer,2020-08-15 17:00:50,F,C5N2020-08-15-17-00-45.mp4,C5N
8,NO IDENTIFICADO,2020-08-15 17:00:50,M,C5N2020-08-15-17-00-45.mp4,C5N
9,NO IDENTIFICADO,2020-08-15 17:00:51,M,C5N2020-08-15-17-00-45.mp4,C5N
10,SIN PERSONAS IDENTIFICABLES,2020-08-15 17:00:51,,C5N2020-08-15-17-00-45.mp4,C5N
11,NO IDENTIFICADO,2020-08-15 17:00:52,M,C5N2020-08-15-17-00-45.mp4,C5N
12,c_marcela_pagano,2020-08-15 17:00:52,F,C5N2020-08-15-17-00-45.mp4,C5N
13,NO IDENTIFICADO,2020-08-15 17:00:53,M,C5N2020-08-15-17-00-45.mp4,C5N
14,NO IDENTIFICADO,2020-08-15 17:00:53,M,C5N2020-08-15-17-00-45.mp4,C5N
15,NO IDENTIFICADO,2020-08-15 17:00:54,M,C5N2020-08-15-17-00-45.mp4,C5N
16,SIN PERSONAS IDENTIFICABLES,2020-08-15 17:00:54,,C5N2020-08-15-17-00-45.mp4,C5N
17,NO IDENTIFICADO,2020-08-15 17:00:55,M,C5N2020-08-15-17-00-45.mp4,C5N
18,NO IDENTIFICADO,2020-08-15 17:00:55,M,C5N2020-08-15-17-00-45.mp4,C5N
19,NO IDENTIFICADO,2020-08-15 17:00:56,M,C5N2020-08-15-17-00-45.mp4,C5N
20,NO IDENTIFICADO,2020-08-15 17:00:56,M,C5N2020-08-15-17-00-45.mp4,C5N
21,NO IDENTIFICADO,2020-08-15 17:00:57,M,C5N2020-08-15-17-00-45.mp4,C5N
22,NO IDENTIFICADO,2020-08-15 17:00:57,M,C5N2020-08-15-17-00-45.mp4,C5N
23,NO IDENTIFICADO,2020-08-15 17:00:58,M,C5N2020-08-15-17-00-45.mp4,C5N
24,NO IDENTIFICADO,2020-08-15 17:00:59,M,C5N2020-08-15-17-00-45.mp4,C5N
25,NO IDENTIFICADO,2020-08-15 17:01:00,M,C5N2020-08-15-17-00-45.mp4,C5N
26,NO IDENTIFICADO,2020-08-15 17:01:01,M,C5N2020-08-15-17-00-45.mp4,C5N
27,NO IDENTIFICADO,2020-08-15 17:01:01,M,C5N2020-08-15-17-00-45.mp4,C5N
28,juanita_viale,2020-08-15 17:01:02,F,C5N2020-08-15-17-00-45.mp4,C5N
29,NO IDENTIFICADO,2020-08-15 17:01:03,M,C5N2020-08-15-17-00-45.mp4,C5N
